category,country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Petroleum refining [Energy systems],AGO,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.1858206535,0.1913548855,0.1996577335,0.1830530375,0.2051919655,0.20801763599999998,0.210785252,0.21631948399999998,0.2024253495,0.22462233199999998,0.20801763599999998,0.21631948399999998,0.22462233199999998,0.19412250150000002,0.2051919655,0.20801763599999998,0.1996577335,0.20801763599999998,0.2051919655,0.2385164665,0.24128408249999997,0.21631948399999998,0.227388948,0.25235354649999997,0.2551211625,0.2939798955,0.2190871,0.2057685105,0.201444423,0.19284196979999998,0.168071
Petroleum refining [Energy systems],ALB,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.2103544475,0.2103544475,0.2162378875,0.2162378875,0.2162378875,0.1426948875,0.11415591,0.1020140465,0.10089095649999999,0.069845521,0.0835225505,0.066575241,0.084507372,0.073235224,0.034246773,0.0882384195,0.0526454855,0.0554170195,0.089305887,0.0646270415,0.0381239085,0.050940743999999996,0.026210473499999998,0.0109028765,0.034246773,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],ARE,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.2551211625,0.263481065,0.266248681,0.2606563945,0.28285337699999996,0.2967475115,0.3161198235,0.35774617249999996,0.32171211,0.332781574,0.382710771,0.40490775349999997,0.4576035665,0.4603711825,0.47697587849999995,0.4576035665,0.4797434944999999,0.440941816,0.4381742,0.5352069235,0.6600289159999999,0.7015972105,0.6960629785,0.709957113,0.7043648265,1.131469563,1.175801473,1.238650878,1.347163458,1.292947587,1.05043
Petroleum refining [Energy systems],ARG,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),7.860882859,9.095347648999999,9.442377232999998,9.434307635,6.926729363,7.624059663,6.952929246,8.081731698999999,7.560498093999999,8.169442775,7.627419009,7.437939326,7.068038605999999,7.133500002999999,6.4599736409999995,6.855299194,6.84465387,6.514378583999999,6.892872764,7.188682914999999,7.374863722,7.2008138409999995,7.798447492999999,6.353802508,7.775445538,7.649772679999999,7.523273402999999,8.008954383999999,8.056375644,7.504272143,6.9273766
Petroleum refining [Energy systems],AUS,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),6.2579806289999995,6.563798186,5.605714867,5.555621233,5.883819511,5.7535712839999995,6.21895021,5.720405706,6.1729145899999995,6.613987198999999,6.668223585,6.660540935999999,6.309918943,6.724519127999999,6.293942153,5.7111949630000005,5.172389718,5.321899959,5.042585117,4.805983793999999,6.251665395999999,6.3037246399999995,5.90515675,5.517032133,5.040900637,4.685485894,3.9597972089999995,3.8453744989999996,3.4143674789999996,3.46341259,3.0525583999999997
Petroleum refining [Energy systems],AUT,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),2.142568699,2.073220654,2.031205736,2.374107796,2.4337710299999995,2.2776541069999996,2.008927923,2.087349812,2.101427233,1.5639785759999998,1.6633778719999999,1.68155518,1.844439872,1.4925657369999998,1.724673385,2.042281105,2.286297507,2.189490893,2.2630289500000003,1.584879759,2.087771049,2.119988726,1.753254677,1.521300827,1.608564617,1.375158087,0.7707962338000001,1.063779493,0.9109724657999999,0.9433711630999999,0.834821168
Petroleum refining [Energy systems],AZE,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.869276999,1.797959583,0.9788583009999999,0.7705523925,0.727714899,0.27968237949999997,0.682052735,0.6449806914999999,0.6592211530000001,0.6192673845,0.57077955,0.42525999200000003,0.2711493135,0.2711493135,0.33964305949999996,0.4965784085,0.41949454199999997,0.5781362217,0.7373078950999999,0.9500235733,0.9349457809999999,0.9596314096999999,1.048624746,1.1376979950000001,1.14721057,1.0185774509999999,1.006099412,1.029148415,1.0259302959999999,1.061599283,0.989763
Petroleum refining [Energy systems],BEL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),3.986549052,4.554354602,4.5114637769999995,4.415046769999999,4.577519203,3.9441131329999997,4.514567044,4.633058093,4.435439661,4.0809748269999995,4.687608849999999,4.675573279,4.677789969999999,4.858125812,4.619078567,4.197887196999999,4.393538356,4.479425908,4.6434931509999995,4.527711292,4.622175059999999,3.9128323309999997,4.156599548,3.940675534,4.198561767,4.238548261,4.221134291,4.425912111,4.497354735999999,4.2982916399999995,3.2713933799999997
Petroleum refining [Energy systems],BGD,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.13938921840000001,0.1268930889,0.1362069743,0.1636294368,0.1684698826,0.1833964158,0.1712372986,0.2038627562,0.1771941845,0.1857864315,0.1979157616,0.2045440572,0.19624220939999998,0.2190570014,0.18408202299999998,0.1085135632,0.1265462137,0.1234411657,0.1081759312,0.0873758647,0.1296512617,0.1386287739,0.1234411657,0.1386287739,0.1206737497,0.1265462137,0.1202584915,0.1465918504,0.1512886573,0.149287119,0.1310554
Petroleum refining [Energy systems],BGR,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.8593049704,0.7168089595,0.6157910231,0.8135381995,0.7891975735,0.9646506585999999,0.9323159518,0.6792099344999999,0.54107739,0.804047238,0.6436420294999999,0.6538318590000001,0.6859318207,0.5985161027,0.6544090601,0.68798327,0.8268210703,0.7789788135,0.8053230502000001,1.017520623,0.9498436476,0.9339124414,0.9473447214999999,0.9769384588,0.9032038525999999,1.1582316959999999,1.2067754929999999,1.2463110560000001,1.3084853749999998,1.357288315,1.2387663
Petroleum refining [Energy systems],BHR,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),2.77833058,2.7698381469999998,2.721571596,2.718870617,2.739806565,2.755584542,2.871319898,2.79777925,2.809556614,2.667262809,2.6899153399999998,2.624782987,2.710444953,2.6232378979999997,2.630380808,2.691491543,2.667610546,3.188355207,3.484139984,3.109175695,3.490715318,3.243798065,3.4555003159999997,3.291366489,3.3448610669999996,3.726046035,3.5545226690000002,3.4827959330000002,3.4880884919999997,3.682166852,3.714245
Petroleum refining [Energy systems],BIH,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285389775,0.13416182149999997,0.094207453,0.191182722,0.045662364,0.311126998,0.290033561,0.286504233,0.26216211749999996,0.28009217999999997,0.32467605339999994,0.3296115379,0.2982707
Petroleum refining [Energy systems],BLR,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),4.7185504400000005,4.530963084,3.254740273,2.157775938,1.9643984259999998,2.0594123179999997,1.6728109580000001,2.216978641,1.98169757,1.63810031,2.2458249599999998,2.137405716,2.172905332,2.329277094,2.9273558659999996,2.862426231,3.0773581279999997,3.172696339,3.041885455,3.075614681,4.097411843,3.0145632669999998,3.263753129,3.3969606619999997,3.43562448,3.522122677,3.169651693,2.8381577719999997,2.763272515,2.654910629,2.439349
Petroleum refining [Energy systems],BOL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.267813976,0.28477955699999996,0.2754860455,0.284417738,0.294553593,0.448791909,0.3492359899,0.2823800202,0.2841267785,0.260067174,0.24596485399999998,0.19452917749999998,0.1996577335,0.22416557449999996,0.21154054949999998,0.254665405,0.25749007549999997,0.329843652,0.252241295,0.316414248,0.255415587,0.265671699,0.3013702285,0.31047234,0.23719827549999997,0.297847315,0.37903164,0.3901973325,0.4084630719,0.40943862229999994,0.3525144
Petroleum refining [Energy systems],BRA,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),10.5787379,9.246278108999999,9.702568553999999,10.832423050000001,11.51304724,10.85441386,11.62513442,12.822262699999998,13.12736151,12.68863989,13.1648871,13.679376659999999,13.42542817,13.91883356,14.607741699999998,15.78133514,15.627656029999999,16.02022311,16.48606285,17.03044085,14.10272864,15.13946416,14.80160795,16.04334438,17.73406858,16.89253402,15.794495359999999,16.28356736,16.61512801,16.768228399999998,15.640406699999998
Petroleum refining [Energy systems],BRB,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0019683475,0.0019683475,0.0019683475,0.002024586,0.002024586,0.002024586,0.0023057785,0.0023057785,0.013834671,0.014846963999999999,0.01304733206,0.024070078,0.019908429,0.0089419215,0.009223114,0.009560545,0.009785499,0.006467427499999999,0.009785499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],BRN,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.002767416,0.002767416,0.022196982499999997,0.069300709,0.06653329300000001,0.0748931955,0.13312384049999998,0.152554207,0.163623671,0.1802854215,0.166391287,0.14972853649999998,0.1830530375,0.17746075099999997,0.13312384049999998,0.1469609205,0.17746075099999997,0.1858206535,0.171925519,0.0360340625,0.0415688945,0.03880147849999999,0.0304992305,0.03880147849999999,0.0304992305,0.0249643985,0.0277318145,0.0083599025,0.0039320369,0.004052592123999999,0.00396179
Petroleum refining [Energy systems],CAN,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),18.73997486,18.39226914,18.715273219999997,19.26021726,18.06573994,18.50984814,19.2800487,19.92855233,20.322797719999997,19.78218956,20.334553899999996,21.55879846,25.5775285,25.965108899999997,24.31825437,24.155596359999997,23.65979876,24.35127584,23.55277889,23.45026827,23.63742298,21.01639329,21.12004759,21.61192026,17.574963659999998,17.560056539999998,16.66872132,15.51339046,14.38391991,14.53057446,13.093705859999998
Petroleum refining [Energy systems],CHE,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.3673622579,0.48655391979999996,0.49403853899999994,0.5658578584,0.6537513935999999,0.6360219544,0.6775822826,0.6585750198,0.6736993083999999,0.6952060615,0.6253358268,0.6738807151999999,0.6999202449999999,0.6500495535,0.8986457737,0.9343859559,1.059933381,0.8800317031,0.9814222624999999,0.9295665012000001,0.9131978434,0.8440695777999999,0.7477259571999999,0.8974392968999999,0.9322493893,0.4286390107,0.3696809055,0.3608696673,0.30119429940000003,0.30785196730000003,0.2557739
Petroleum refining [Energy systems],CHL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.6366580439999998,1.730596405,1.8599704629999998,1.690120399,1.816218745,1.9686631179999998,2.391073376,2.02769302,2.7738156860000003,2.519544703,1.9105182339999998,2.2598968349999997,2.878111524,2.625628783,3.132006502,3.0040502669999998,2.871769461,1.7706992949999998,2.611945325,2.316272201,0.9530116274,1.137287062,1.1973080349999998,2.037035592,1.4972820949999999,1.3422735149999998,1.1319176610000001,1.030711569,0.9901767613999999,1.035503488,0.9522633
Petroleum refining [Energy systems],CHN,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),18.60782557,20.14786694,22.951941769999998,20.802671079999996,21.15301369,25.70584592,19.59941056,28.66789121,26.8769293,25.383139949999997,28.33397947,28.81985478,28.70814348,33.27225492,39.13581638,33.61670702,33.29370538,33.85035857,34.65945850999999,39.03125815999999,70.93745511,80.08433193,79.92804598000001,86.69296892,87.51965052999999,95.94201953,102.99682419999999,118.706328,126.77174829999998,132.63385879999998,136.942026
Petroleum refining [Energy systems],CIV,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.17641220989999998,0.1826969414,0.22630231669999998,0.2730884522,0.2866669808,0.2013959578,0.36942833919999996,0.42216385129999995,0.3775645955,0.503654022,0.5376125285,0.5351812678,0.4568678865,0.2240218637,0.3577061143,0.521962814,0.1483446402,0.13970623699999998,0.22548839869999998,0.20830595379999997,0.1511314058,0.1244662964,0.17785436929999998,0.1719055928,0.16597695129999998,0.1635456903,0.1042868304,0.1251560007,0.1146947771,0.1156622578,0.1030005
Petroleum refining [Energy systems],CMR,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17229632250000002,0.1660848825,0.1781694585,0.14671297049999998,0.15258610649999998,0.15845924249999999,0.126190849,0.088106974,0.123423433,0.06653329300000001,0.06653329300000001,0.054771775,0.043702110999999995,0.0418340247,0.0364619
Petroleum refining [Energy systems],COD,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.07128239,0.049603724999999994,0.034097968,0.037184421999999995,0.021678665,0.021678665,0.021678665,0.024765119,0.024765119,0.024765119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],COG,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0031057199999999997,0.0031057199999999997,0.0031057199999999997,0.0031057199999999997,0.0,0.0031057199999999997,0.0031057199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0031057199999999997,0.0,0.0,0.0031057199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],COL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),2.5704372589999998,2.566311903,2.586913295,3.1493315049999997,2.89530449,3.041074183,3.873215666,3.795938196,3.7820825399999998,4.223363963000001,3.72944395,3.3813789369999996,3.1718305869999996,3.195580293,3.187540227,3.2337843889999998,3.2729109249999997,3.265737052,3.3743816699999996,4.0458873429999995,3.941565825,4.136595026,4.066501338,3.909956285,3.5957260349999998,3.828875848,4.636197032999999,4.723129892,4.8676535880000005,5.018884792,4.6567099999999995
Petroleum refining [Energy systems],CRI,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.1186470491,0.0626784069,0.07828486371,0.0657846456,0.08139088748000001,0.10010231,0.09683132881999999,0.09683104101,0.0,0.0,0.0,0.05311972293,0.06872601784,0.07828599538999999,0.06872635608,0.059318315399999995,0.08113565399999999,0.08113565399999999,0.071818641,0.0655296574,0.0686353284,0.0437123188,0.0343176642,0.0312119932,0.0312119932,0.0312119932,0.0312119932,0.03028029204,0.02947277744,0.031814258709999994,0.0274994
Petroleum refining [Energy systems],CUB,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.233361386,0.7898223696,0.2488705848,0.17482972559999999,0.1309668822,0.2142890429,0.2876671462,0.1981439062,0.1474465368,0.13493247479999998,0.44735268939999995,0.6789925792999999,0.30820611589999997,0.44040175699999995,0.32706415149999996,0.31323083949999997,0.32532967849999994,0.19725311399999998,0.21085417199999998,0.5861801805,0.35558928549999996,0.5954391705,0.846364814,0.6584150195,0.7668859645,0.8478611169999999,0.504901179,0.46256353299999997,0.38239073009999996,0.37325813609999997,0.32167487
Petroleum refining [Energy systems],CYP,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.08551008176,0.08579194328999999,0.08889438077,0.07742113527,0.11194853699999999,0.08983784342000001,0.08390889059,0.08911671687,0.09222027028999999,0.10673760069999999,0.10391253019999999,0.0542528845,0.10697054549999999,0.10697054549999999,0.025713906999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],CZE,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.1900526189,0.494493803,0.5247389620999999,0.5391746874000001,0.7134099307,0.5005686552999999,0.6292579097,0.5992176852,0.5564305096,0.5920061659,0.6434766948,0.8288379187999999,0.8248545377,0.814038363,0.8085173671999999,0.9335382073999999,1.014300687,0.9927662718,1.013852527,0.9131349432,0.9220852244,0.8722954595999999,0.8647123979,0.7661927109,0.8518930401,0.8995968675,0.6299317574,0.9007190468999999,0.8918516041999999,0.9096738072,0.8277019999999999
Petroleum refining [Energy systems],DEU,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),19.059310739999997,17.76808348,18.445454539999997,19.22674976,20.039956809999996,19.55838893,19.774816089999998,19.16239994,20.07360341,20.16264176,20.6297763,19.777600079999996,20.48983512,18.234254489999998,18.95912835,19.50484367,19.39013005,19.138076729999998,19.01764116,18.52408673,18.3556928,17.64423907,17.501491389999998,17.30983258,16.4447463,17.25383944,17.628950219999997,17.32441154,17.35535498,17.522322850000002,16.0058859
Petroleum refining [Energy systems],DNK,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.8413421584999999,0.8975826438,1.004062677,0.9950319873,1.022337681,1.129720076,1.232680848,0.955282483,0.8086973796,0.8287038891999999,0.8439486985,0.8524772304,0.8242156638,0.8526357632999999,0.8455462693,0.8090198464999999,0.8342337878999999,0.8354546748999999,0.7399092658,0.7682270877,0.6962465645,0.7937796537,0.8440457953999999,0.8173898114999999,0.7930581324,0.8679379816999999,0.7691633403,0.8468794957,0.8480506145,0.8352157859,0.6905941
Petroleum refining [Energy systems],DOM,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0304992305,0.0360340625,0.0360340625,0.03880147849999999,0.0415688945,0.0415688945,0.03880147849999999,0.0415688945,0.03880147849999999,0.0415688945,0.044393964999999994,0.033266646500000004,0.03880147849999999,0.03880147849999999,0.03880147849999999,0.03880147849999999,0.03880147849999999,0.033266646500000004,0.0360340625,0.033266646500000004,0.0360340625,0.033266646500000004,0.0304992305,0.033266646500000004,0.033266646500000004,0.0194295665,0.0304992305,0.024099581,0.022819671099999998,0.022276707839999996,0.019239799999999998
Petroleum refining [Energy systems],DZA,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),2.903325599,3.0890820619999997,2.794032865,3.173277918,2.867559605,2.880040313,3.137974631,3.199361794,2.4568618119999996,3.2461969479999997,3.152712989,2.9294456899999997,2.99147823,3.0944719879999996,2.7273105959999997,2.6430919279999996,2.816544863,2.752805337,3.1996617400000003,3.305109812,3.4923698450000003,3.317586954,3.201572139,3.2572134459999997,3.9378926889999994,4.2622576819999995,4.041206463,3.621106776,3.705918116,3.838857455,3.40561
Petroleum refining [Energy systems],ECU,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.2151574623,0.10913226009999999,0.1897946704,0.17108780999999998,0.1679107954,1.029655372,1.1794515989999999,1.0057545159999999,1.119108027,1.158785162,1.3204894699999998,1.323234577,1.235483269,1.156473419,1.357188814,1.089240885,1.300644049,1.259959514,1.357469809,1.316791885,1.228891181,1.2850394639999998,1.280974925,1.2352745449999998,1.2480290719999998,1.072465857,1.152222067,1.060454525,1.0155999709999999,0.984396466,0.78936212
Petroleum refining [Energy systems],EGY,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.6151920649999998,1.652309384,1.6467741519999999,1.63456979,1.6484774599999998,1.69752559,1.714185756,1.413390941,1.415061712,1.24711222,1.6384836249999999,1.084534819,1.106651715,0.8268574865,0.8873339504,0.8960500951999999,0.8901015663999999,0.9225356346,0.8722751176999999,0.8426868586999999,0.9361036437999999,0.8499702349,0.8993191803,0.7812749006,0.8428570079,0.7453497384,0.9751028189,0.8954116161,0.8951551413,0.9012071891,0.808489
Petroleum refining [Energy systems],ERI,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.04547058273,0.02590608865,0.0194295665,0.0166621505,0.0194295665,0.0166621505,0.0194295665,0.011069664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],ESP,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),9.522119843,9.94667955,10.69270742,10.04352074,10.62844874,10.64020447,11.49214161,11.865764429999999,11.895343109999999,12.002290189999998,11.98450329,11.557985239999999,10.679426369999998,11.37313983,11.46425661,11.74634647,12.210679699999998,11.63443882,11.42406945,11.03246421,10.966311489999999,12.30967433,14.98028308,14.55235306,15.02825959,18.41325448,19.242017859999997,18.831214059999997,19.6754493,20.68008892,17.571369899999997
Petroleum refining [Energy systems],ETH,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.13488490749999998,0.110918562,0.008302248,0.011069664,0.011069664,0.011069664,0.011069664,0.005534832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
